bodyMajor,bodyAngle,bodyArea,lh1_x,lh1_y,lh1Major,lh1Angle,lh1Area,rh1_x,rh1_y,rh1Major,rh1Angle,rh1Area,lh2_x,lh2_y,lh2Major,lh2Angle,lh2Area,rh2_x,rh2_y,rh2Major,rh2Angle,rh2Area,Pose
142,88.386,20969.708,-27,3,59,96.766,3522.182,36,1,61,90.939,3833.24,1,-25,49,-176.496,2463.328,9,-24,55,-11.514,3110.58,Hands_Crossed
142,89.597,20969.708,-29,1,60,92.862,3770.4,35,0,59,91.941,3522.182,-2,-27,52,-175.601,2777.528,10,-25,53,-9.638,2830.942,Hands_Crossed
143,89.199,21117.382,-30,1,60,92.862,3770.4,36,-1,60,93.814,3770.4,-2,-26,53,-174.611,2830.942,10,-26,56,-9.13,3167.136,Hands_Crossed
141,95.268,20822.034,-26,-4,56,95.102,3167.136,40,10,56,100.125,3167.136,3,-22,56,-160.278,3167.136,18,-18,55,0.0,3110.58,Hands_Crossed
140,96.973,20234.48,-25,-4,54,96.34,3054.024,41,13,55,102.529,3110.58,4,-19,55,-155.726,3110.58,19,-16,57,4.014,3402.786,Hands_Crossed
141,97.729,20822.034,-24,-4,54,97.386,3054.024,41,14,55,103.536,3110.58,3,-19,52,-152.949,2777.528,19,-16,56,7.125,3167.136,Hands_Crossed
142,97.674,20969.708,-24,-4,54,97.386,3054.024,40,14,55,104.534,3110.58,2,-19,51,-151.928,2724.114,19,-17,57,8.973,3402.786,Hands_Crossed
141,97.729,20822.034,-25,-3,55,96.226,3110.58,40,14,56,104.281,3167.136,1,-19,51,-152.447,2724.114,19,-18,57,8.973,3402.786,Hands_Crossed
141,97.729,20822.034,-25,-2,55,96.226,3110.58,40,14,56,104.281,3167.136,1,-18,51,-151.928,2724.114,19,-18,57,8.973,3402.786,Hands_Crossed
135,98.907,19087.65,-57,-2,67,80.676,4631.308,54,4,65,104.25,4288.83,-23,-32,80,-174.999,6535.36,22,-28,81,0.0,6871.554,Hands_Crossed
138,82.104,19945.416,-33,13,48,88.807,2413.056,31,1,58,89.012,3462.484,-6,-18,57,165.005,3402.786,4,-17,57,-22.543,3402.786,Hands_Crossed
139,82.977,20089.948,-28,18,45,92.545,2120.85,33,0,56,92.045,3167.136,-2,-15,52,157.797,2777.528,9,-15,55,-26.565,3110.58,Hands_Crossed
