LWN,RWN,LWLS,RWRS,LWRE,RWLE,LWRH,LELH,RWLH,RERH,LHRHMN,LWRW,LERE,LEA,REA,RSA,LSA,LHTA,RHTA,ETRI,WTRI,HTRI,Pose
789.9494,756.7628,670.2015,652.3534,176.0824,109.859,473.3815,382.1021,448.1707,362.2499,1202.2497,417.0971,634.1009,87.6927,76.6625,6.7707,0.2646,79.181,100.819,266414.4738,155345.9278,95719.7545,Hands_Crossed
788.4092,751.41,670.4058,640.8057,176.0511,153.5871,468.4709,408.0502,444.4007,372.8552,1194.3401,394.0457,684.4246,86.3536,76.9678,7.882,4.8023,78.8968,101.1032,279503.2872,146684.1339,89284.2326,Hands_Crossed
787.1093,740.4114,668.6172,638.2233,155.2063,170.1352,450.2855,384.8376,438.1803,368.4155,1177.0817,389.3713,677.1566,83.7209,79.6148,5.5885,6.795,78.4599,101.5401,274608.1173,143853.1289,85773.6098,Hands_Crossed
191.4811,173.8333,173.5655,157.8765,61.6117,55.5788,91.6624,102.8834,99.2472,115.8706,274.2303,70.859,185.3267,86.8726,79.4333,18.4011,14.3902,75.4503,104.5497,16372.9907,6356.2403,3366.549,Hands_Crossed
733.0553,536.4597,602.416,416.4325,706.6774,525.1981,655.6112,534.8439,684.2668,446.2567,1068.5198,360.9058,905.0221,125.9563,68.1579,15.626,4.7696,91.6485,88.3515,271334.7154,111241.0183,83864.8433,Hands_Crossed
792.9344,859.7191,743.5893,619.6104,191.5959,327.4828,518.4255,498.0803,461.8062,466.1716,1276.5612,348.7607,833.735,82.6033,79.8796,16.0163,10.6288,93.4699,86.5301,340796.8815,140970.3477,83338.8398,Hands_Crossed
916.537,782.8186,744.761,669.8074,226.4972,210.7534,382.123,370.6238,512.2821,385.5036,1266.2879,439.2459,778.0161,86.426,67.3585,12.8711,8.2576,88.9035,91.0965,354905.2386,180864.3182,97453.0385,Hands_Crossed
815.0982,857.3243,749.1128,671.8408,118.0042,133.8805,525.039,432.5517,461.2906,446.8792,1283.784,522.1877,718.0063,83.8783,80.0193,12.4473,3.7238,94.8072,85.1928,307847.0711,207487.4918,128761.9616,Hands_Crossed
745.9524,754.8735,710.0261,704.8922,127.4402,168.2914,624.1578,426.9485,580.938,508.0236,1296.0163,568.2543,659.468,77.1472,80.9271,4.3386,3.6964,93.6629,86.3371,275496.7392,197342.8894,170903.9702,Hands_Crossed
922.3709,868.4014,790.914,769.2204,88.8651,136.18,475.8498,387.9304,494.0091,434.2004,1335.5453,547.9352,692.4514,81.5094,81.4562,7.2844,4.7665,83.7816,96.2184,324466.7512,233658.595,132677.4238,Hands_Crossed
915.1667,870.2666,795.6381,761.8195,84.0952,124.1692,416.9412,383.3171,437.6048,393.9746,1282.025,507.7184,690.0,84.0419,84.0404,6.2875,6.111,82.8717,97.1283,312286.7508,217342.9999,108464.301,Hands_Crossed
926.0518,885.768,795.5482,781.3763,133.7348,87.4643,345.4417,342.8382,370.4376,368.6638,1235.243,443.3836,656.1097,93.55,88.9713,5.4317,2.7309,83.9959,96.0041,291593.5447,194777.5606,79074.2329,Hands_Crossed
911.5262,872.3531,781.3789,731.642,88.278,158.619,361.0,395.904,378.5287,378.3755,1231.5016,430.5624,676.6218,90.0387,90.3509,4.8512,7.0968,83.151,96.849,289087.4369,186388.5284,79259.5284,Hands_Crossed
901.3152,873.5365,749.6412,753.3299,122.0,134.0037,358.3141,358.9499,338.3785,352.0241,1207.6626,439.0729,693.693,87.1006,86.928,6.8739,9.4365,81.0006,98.9994,301806.7902,188791.2896,76398.7612,Hands_Crossed
